gender,ug_degree,ug_specialization,interests,skills,cgpa,has_certification,certification_details,is_working,job_title,masters_field,cgpa_normalized
Female,B.SC,Computer Applications,Cloud computing,Python;SQL;Java,85.0,1,"Linux,Git",1,Software,MCA,85.0
Male,B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",66.5,1,Microsoft certification ,1,Computer Software Engineer,None,66.5
Female,BA,Psychology,Understand human behaviour,People management;Communication skills,64.6,1,Resilience psychology,0,Unemployed/Student,None,64.6
Female,MBA,Commerce,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,75.525,0,No,1,Relationships Manager,None,75.525
Female,B.TECH,Instrumentation Engineering,Technology,PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement,70.68,1,Extreme Productivity (Blinkist Summary),1,Plant Instrumentation Engineer,None,70.68
Female,B.TECH,Computer Science Engineering,Technology,"C,C++,HTML,Java",73.15,1,"C,C++,HTML,Java",1,Network Analyst,None,73.15
Male,BMS,Commerce,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",73.15,0,No,0,Unemployed/Student,PGDM (Marketing),73.15
Male,B.TECH,Computer Science Engineering,Technology,NO,74.1,0,No,1,Software Engineer,None,74.1
Male,B.TECH,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,1,Redhat certification,1,Software Engineer,None,69.35
Female,B.SC,Physics,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,86.45,0,No,0,Unemployed/Student,Studying in pg,86.45
Male,B.COM,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",63.745,1,Alteryx and Tableau,0,Tele-Caller,Pursuing Certified Management Accountant of United States,63.745
Male,BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",71.44,0,No,1,Data Engineer,None,71.44
Male,MBA,Marketing,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,59.0,0,No,1,Unemployed/Student,Marketing,59.0
Male,BE,Automation,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,69.35,1,Machine learning with python ,0,Unemployed/Student,None,69.35
Male,BCA,Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,71.2,0,No,0,Unemployed/Student,Master of Computer Applications,71.2
Male,BE,"Science,Maths, Engineering Subject",Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,69.35,1,"ML,Tane the Python,Recommendation project based on Market Analysis ,second prize in Nation Level project competition ",1,Worked In Research Institute,None,69.35
Male,B.TECH,Computer Science Engineering,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,64.6,0,No,0,Unemployed/Student,Data science and computational intelligence,64.6
Male,BE,Mechanical Engineering,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",71.25,1,Google Data Analytics Course,1,Teacher,M.Tech in Metallury and Material Science,71.25
Male,B.TECH,Electrical And Electronics Engineering,Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,81.7,1,"Control Systems;
Control of mobile robots;
Digital Signal Processing;
Electric Power Systems;
Electric machines;
Power Electronics",1,Embedded System Engineer,None,81.7
Male,BE,Structural Engineeeing,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS",74.33,0,No,1,Assistant Professor,Master in Structural Engineering,74.33
Male,M.TECH,Mining,Teaching;Technology;Industires,Hardware skills,92.0,0,No,1,Mine Engineer,Mine Engineer,92.0
Male,B.TECH,Computer Science Engineering,Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,61.75,0,No,0,Unemployed/Student,None,61.75
