gender,ug_degree,ug_specialization,interests,skills,cgpa,has_certification,certification_details,is_working,job_title,masters_field,cgpa_normalized
Male,B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",66.5,1,Microsoft certification ,1,Computer Software Engineer,None,66.5
Male,B.TECH,Computer Science Engineering,Technology,NO,74.1,0,No,1,Software Engineer,None,74.1
Male,B.TECH,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,1,Redhat certification,1,Software Engineer,None,69.35
Male,B.COM,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",63.745,1,Alteryx and Tableau,0,Tele-Caller,Pursuing Certified Management Accountant of United States,63.745
Male,BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",71.44,0,No,1,Data Engineer,None,71.44
Male,BE,Mechanical Engineering,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",71.25,1,Google Data Analytics Course,1,Teacher,M.Tech in Metallury and Material Science,71.25
Male,BE,Structural Engineeeing,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS",74.33,0,No,1,Assistant Professor,Master in Structural Engineering,74.33
Male,B.TECH,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",73.15,1,ANSYS,1,Mechanical Design Engineer,None,73.15
Male,BCA,"C,C++, Java",Teaching,Active Listening;Teaching,69.0,0,No,1,Teacher,MCA,69.0
Male,BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,1,"Six Sigma, digital marketing.",1,Sales Executive,Masters in Business Administration,84.55
Male,BE,Electronics And Communication Engineering,Technology,NO,66.5,0,No,1,Software Developer,None,66.5
Male,B.TECH,Computer Science Engineering,Software Job,NO,76.0,0,No,1,Developer,None,76.0
Female,B.COM,Commerce,Financial Analysis,"Accounting Skills, Cost Accounting",51.3,1,Tax and law,0,Housewife,None,51.3
Male,B.COM,Commerce,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",57.0,0,No,1,Tele-Caller,Masters in Computer Applications,57.0
Female,B.TECH,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",65.55,1,Digital marketing ,1,Hr,Masters in Business Administration,65.55
Male,BE,Automobile Engineering,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",76.0,0,No,1,Design Engineer,None,76.0
Male,B.TECH,Electrical And Electronics Engineering,"Information Technology,Blockchain",Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache; New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2,74.67,1,Creating Routing Policies to Handle Website Traffic Using AWS Route53;Kubernetes,1,Devops Engineer,None,74.67
Male,B.TECH,Computer Science Engineering,Software Job,"Full stack, java, python, reactjs",74.1,1,"Full stack, java, python, reactjs",1,Software Developer,None,74.1
Male,BE,Mechanical Engineering,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,1,Data science,1,Production Engineer,None,88.35
Male,B.TECH,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,1,catia,1,Mechanical Design Engineer,None,74.1
Male,DIPLOMA,High Pressure Die Casting,Technology,Designing skills,70.0,1,Catia,1,Engineer,None,70.0
Male,B.COM,Accounting&Finance,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,83.03,1,No,1,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)",83.03
Female,B.TECH,Computer Science Engineering,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,1,MBA,1,Programmer,MBA,68.4
Male,B.TECH,Electrical And Electronics Engineering,Software Job,stack web development,78.85,1,stack web development,1,Associate Software Engineer,None,78.85
Male,B.TECH,Computer Science Engineering,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,1,Power BI,1,Data Analyst,None,73.625
Male,B.TECH,Computer Science Engineering,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71.0,0,No,1,Software Engineer,None,71.0
Male,B.TECH,Criminal Manual,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",68.4,0,No,1,Sales Executive,None,68.4
Male,BE,Electrical And Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,0,No,0,Assistant Professor,M.Tech-Heat Power Engineering and PhD-Mechanical Engineering,62.26
Male,B.TECH,Mechanical Engineering,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,1,PMP,1,Project Manager,None,80.75
Male,B.TECH,Electrical And Electronics Engineering,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,1,Data science using python and R programming ,1,Mechanical Design Engineer,Master in Design (Mechanical)&professional Data science,63.9
Male,B.E,Accountancy,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",88.35,1,Organic farming,1,Mechanical Engineer,Masters in Science,88.35
Female,B.TECH,Company Law,Data Analytics,"JavaScript,Python",73.15,1,"JavaScript,Python",1,Software Developer,None,73.15
Female,B.TECH,Physics,Data Analytics,Javascript,65.55,1,Javascript,1,Associate Software Engineer,None,65.55
Female,B.TECH,Computer Applications,Technology;Information Technology,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,71.25,0,No,1,Software Engineer,"Yes, Master's in IT, specialisation in networking and cyber security",71.25
Female,B.COM,Computer Science Engineering,Financial Analysis,Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation,67.45,1,Companies Act;Indirect Taxation,1,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)",67.45
Male,BBA,Electrical Machines,Financial Analysis,Financial Modeling;Financial Analysis;,84.55,1,Financial Modelling,1,Financial Analyst,None,84.55
Male,B.TECH,Finance,"Research,Understand human body,BioTechnology",Microbiology; cell culture ;molecular Biology; bioprocess; Katte virus,83.22,1,"Antimicrobial Resistance - Theory and Methods ;  Cancer Metastasis; 
Fundamentals of Immunology: T Cells and Signaling;
Fundamentals of Immunology: Innate Immunity and B-Cell Function;
Drug Discovery;Drug Delivery Principles and Engineering ",1,Research Associate,None,83.22
Male,B.E,Biotechnology,Data Analytics,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",88.16,1,Six Sigma Principles ,1,Data Analyst,None,88.16
Male,B.COM,Commerce,Take risk for Profits,Accounting Skills,77.0,1,Yes,0,Business Analyst,Masters in Accounting,77.0
Male,B.TECH,Civil Engineering,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",83.41,1,STAAD-Pro,1,Civil & Structural Engineer,None,83.41
Male,BE,Business Administration,"Financial Analysis, Research, Sales/Marketing, Trading, Entrepreneurship","Active Listening, Leadership, Market Study, Team work, Mass Communication, Writing, Reading, Sales",68.4,1,Master in diploma.. In designing Cadd ,1,Mechanical Engineer,None,68.4
Male,B.TECH,Electronics & Telecom.,Financial Analysis,Programming Language skills;Analytical Skills;C++;Linux;SQL;Java;Cloud Computing,66.5,1,DIPLOMA IN ADVANCED COMPUTING (CDAC),1,Software Engineer,None,66.5
Male,B.TECH,Civil Engineering,Teaching;Design,Gathering Information;Finance related skills;Civil & Criminal Law,66.0,0,No,1,Teacher,None,66.0
Male,B.TECH,Electronics And Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",65.55,0,No,1,Teacher,M.Tech,65.55
Male,B.TECH,Computer Science Engineering,"Data scientist,Web development,Social causes,All fields related to Data science,Machine Learning",Bootstrap;Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,72.2,1,HTML,1,Web Developer,None,72.2
Male,DIPLOMA IN PHARMACY,Hospitality,Hospitality,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",84.55,1,Diploma in pharmacy ,1,Medical Practitioner,B pharm,84.55
Male,B.TECH,Biotechnology,"Research,Understand human body,BioTechnology",Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases; Protein structure ;protein characterization ;protein engineering,70.015,1,Industrial biotechnology,1,Research Associate,None,70.015
Male,B.TECH,Biotechnalogy,"Research,Understand human body,BioTechnology",Phytochemistry;Metabolomics;Protein Expression;PCR;Molecular Biology;Life Sciences;Polymerase Chain Reaction (PCR);DNA;Biochemistry;Bioinformatics;Cell Culture;Protein Purification;Chemometrics,84.075,1,Smart Metabolic engineering for plant biosynthesis;Small molecule analysis by NMR spectroscopy and mass spectrometry,1,Assistant Professor,None,84.075
Female,BBA,Human Resource,Financial Analysis;Sales/Marketing;Trading;Understand human behaviour,Active Listening;Finance related skills;People management;Communication skills;Negotiation skills;Interpersonal skills;HR,76.95,1,Leadership and Organizational Behaviour,1,Hr Executive,MBA in Human Resource,76.95
Male,B.TECH,Civil Engineering,Teaching;Technology;Trading;Home interior design;Industires;Design,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge,71.0,0,No,1,Civil Engineer,None,71.0
Male,B.TECH,Mechanical Engineering,Technology,"Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge",65.0,0,No,1,Mechanical Engineer,None,65.0
